diameter (micron), mass fraction
2.456599999999999966e+02,5.730043795337749074e-02
2.369799999999999898e+02,5.668911345333000479e-02
2.282999999999999829e+02,5.603382562599048405e-02
2.196199999999999761e+02,5.532977187919420337e-02
2.109399999999999977e+02,5.457144351840718249e-02
2.022599999999999909e+02,5.375249544097158300e-02
1.935799999999999841e+02,5.286558710537990480e-02
1.849000000000000057e+02,5.190218753357012799e-02
1.762199999999999989e+02,5.085233511959761504e-02
1.675399999999999920e+02,4.970434049237169860e-02
1.588599999999999852e+02,4.844441750372122796e-02
1.501799999999999784e+02,4.705622350169769152e-02
1.415000000000000000e+02,4.552028541179911625e-02
1.328199999999999932e+02,4.381328303466011653e-02
1.241399999999999864e+02,4.190715617114528641e-02
1.154599999999999937e+02,3.976799965685350047e-02
1.067800000000000011e+02,3.735471444532968005e-02
9.809999999999999432e+01,3.461740250491342208e-02
8.941999999999998749e+01,3.149554632302786067e-02
8.073999999999999488e+01,2.791613398389072853e-02
7.206000000000000227e+01,2.379213781314089629e-02
6.337999999999999545e+01,1.902222262969628999e-02
5.470000000000000284e+01,1.349336327178193330e-02
4.601999999999999602e+01,7.089225695548208653e-03
3.734000000000000341e+01,-2.916500693963165617e-04
