volumetric moisture content,pressure (cm)
0.486,0.10197162
0.465,0.10197162
0.497,0.10197162
0.486,7.030695693
0.465,7.030695693
0.497,7.030695693
0.418,14.06139139
0.323,35.15347847
0.183,70.30695693
0.157,105.4604354
0.211,210.9208708
0.182,210.9208708
0.149,210.9208708
0.220,281.2278277
0.128,281.2278277
0.139,281.2278277
0.196,351.5347847
0.136,351.5347847
0.151,351.5347847
0.172,421.8417416
0.114,421.8417416
0.117,421.8417416
0.118,632.7626124
0.087,632.7626124
0.085,632.7626124
0.128,1406.139139
0.071,1406.139139
0.084,1406.139139
0.079,4148.110459
0.079,4148.110459
0.104,4148.110459
